-----------------------------------------------------------------------------------------------------------------------
|                                                  DescribeInstances                                                  |
+---------------------+----------------------------+-------------------+---------------+-----------+------------------+
|         ID          |         Launched           |       Owner       |     Priv      |   State   |      Type        |
+---------------------+----------------------------+-------------------+---------------+-----------+------------------+
|  i-054caf7aff0720142|  2026-09-05T05:13:18+00:00 |  None             |  172.30.0.7   |  running  |  c7i.8xlarge     |
|  i-02aaa996f54d2c004|  2026-09-05T13:56:42+00:00 |  None             |  172.30.0.86  |  running  |  r7i.16xlarge    |
|  i-0cd415bd9d3abed39|  2026-09-05T14:18:59+00:00 |  None             |  172.30.0.163 |  running  |  r7i.8xlarge     |
|  i-01ba5656dbd7d521c|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.229 |  running  |  c7i.4xlarge     |
|  i-0035eeae12cd0e7f1|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.102 |  running  |  c7i.4xlarge     |
|  i-0dda84fa149666cf8|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.165 |  running  |  c7i.4xlarge     |
|  i-03effc60d705503c0|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.101 |  running  |  c7i.4xlarge     |
|  i-07eb0cd6ef9a9bce8|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.248 |  running  |  c7i.4xlarge     |
|  i-0b059239c80a17b43|  2026-09-05T14:32:54+00:00 |  manual           |  172.30.0.59  |  running  |  c7i.4xlarge     |
|  i-0d8bf8dd339a2e161|  2026-09-05T14:38:20+00:00 |  gi-only-20260905 |  172.30.0.238 |  running  |  c7i.8xlarge     |
|  i-0889ee47ceb889561|  2026-09-05T14:38:20+00:00 |  gi-only-20260905 |  172.30.0.236 |  running  |  c7i.8xlarge     |
|  i-0a067499279342f0c|  2026-09-05T14:38:22+00:00 |  gi-only-20260905 |  172.30.0.75  |  running  |  r7i.8xlarge     |
|  i-0fe012c4207c7a220|  2026-09-05T14:38:22+00:00 |  gi-only-20260905 |  172.30.0.235 |  running  |  r7i.8xlarge     |
|  i-0e91c47db37aa6598|  2026-09-05T05:54:37+00:00 |  None             |  172.30.0.28  |  running  |  c7i.8xlarge     |
|  i-04fcf19f9dfa5e32e|  2026-09-05T05:54:35+00:00 |  None             |  172.30.0.18  |  running  |  c7i.8xlarge     |
|  i-0baedea1d34e4b978|  2026-09-05T13:49:27+00:00 |  None             |  172.30.0.190 |  running  |  r7i.24xlarge    |
|  i-0193dc1295fc5234a|  2026-09-05T13:49:27+00:00 |  None             |  172.30.0.108 |  running  |  r7i.24xlarge    |
|  i-0ce9ea50559403c22|  2026-09-05T13:49:27+00:00 |  None             |  172.30.0.202 |  running  |  r7i.24xlarge    |
|  i-0e95f8ff97f6462ce|  2026-09-05T13:49:27+00:00 |  None             |  172.30.0.183 |  running  |  r7i.24xlarge    |
|  i-043f250f1956bd34b|  2026-09-05T13:49:28+00:00 |  None             |  172.30.0.45  |  running  |  x2idn.16xlarge  |
|  i-02efd7ecd26becc5a|  2026-09-05T13:49:28+00:00 |  None             |  172.30.0.125 |  running  |  x2idn.16xlarge  |
|  i-018484399fd100293|  2026-09-05T13:49:28+00:00 |  None             |  172.30.0.55  |  running  |  x2idn.16xlarge  |
|  i-0780c67ecdc79cb0a|  2026-09-05T13:49:28+00:00 |  None             |  172.30.0.121 |  running  |  x2idn.16xlarge  |
|  i-05bbedf0197e8eee3|  2026-09-05T13:50:31+00:00 |  None             |  172.30.0.67  |  running  |  r7i.16xlarge    |
|  i-01de3f3912cb345f7|  2026-09-05T14:26:46+00:00 |  None             |  172.30.0.127 |  running  |  r7i.8xlarge     |
|  i-0a21a293214dd1650|  2026-09-05T14:33:20+00:00 |  manual           |  172.30.0.62  |  running  |  r7i.8xlarge     |
+---------------------+----------------------------+-------------------+---------------+-----------+------------------+
